epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2466.36,1.12111,0.78269,0.0055,0.9522,0.78859,0.85346,0.57761,0.99407,0.34498,0.00118,0.0005941,0.0005941,0.0005941
43,2525.16,1.13632,0.74148,0.00486,0.96164,0.81565,0.86096,0.59596,0.998,0.32064,0.00122,0.0005842,0.0005842,0.0005842
44,2595.55,1.12517,0.77296,0.00518,0.92878,0.85351,0.86261,0.57143,1.13083,0.34474,0.0013,0.0005743,0.0005743,0.0005743
45,2662.28,1.12634,0.74611,0.00513,0.92344,0.81949,0.86081,0.59491,0.96491,0.32579,0.00119,0.0005644,0.0005644,0.0005644
46,2747.69,1.1149,0.73668,0.00496,0.94666,0.8266,0.86083,0.59328,1.00493,0.33665,0.0012,0.0005545,0.0005545,0.0005545
47,2804.57,1.10646,0.75449,0.00513,0.95029,0.83614,0.84916,0.57429,1.0335,0.33405,0.00125,0.0005446,0.0005446,0.0005446
48,2861.3,1.10006,0.73694,0.00497,0.93686,0.85352,0.86777,0.59534,1.00499,0.31395,0.0012,0.0005347,0.0005347,0.0005347
49,2926.71,1.12549,0.70966,0.00453,0.90175,0.85151,0.86871,0.60199,0.97912,0.32815,0.00115,0.0005248,0.0005248,0.0005248
50,2993.57,1.10924,0.74574,0.00501,0.97114,0.83752,0.87345,0.60574,1.01197,0.32572,0.00124,0.0005149,0.0005149,0.0005149
51,3052.53,1.07666,0.7086,0.00467,0.9686,0.84432,0.87254,0.60593,0.94708,0.30855,0.00112,0.000505,0.000505,0.000505
52,3112.04,1.07628,0.74605,0.00534,0.95034,0.8318,0.86062,0.58913,1.00385,0.32646,0.0012,0.0004951,0.0004951,0.0004951
53,3169.51,1.10167,0.72375,0.00459,0.93503,0.83005,0.86317,0.5842,0.99784,0.32921,0.00118,0.0004852,0.0004852,0.0004852
54,3226.65,1.08063,0.72271,0.00482,0.9529,0.84761,0.87144,0.59704,0.95431,0.31129,0.00115,0.0004753,0.0004753,0.0004753
55,3292.87,1.0823,0.72529,0.00492,0.9609,0.82041,0.86102,0.57378,1.04649,0.3358,0.00124,0.0004654,0.0004654,0.0004654
56,3356.05,1.07475,0.73612,0.005,0.95408,0.84331,0.87519,0.59826,0.96852,0.32236,0.00117,0.0004555,0.0004555,0.0004555
57,3413.44,1.06494,0.72075,0.0048,0.97135,0.82257,0.8659,0.59991,0.99262,0.33699,0.00118,0.0004456,0.0004456,0.0004456
58,3471.28,1.063,0.72335,0.00494,0.95567,0.8492,0.86362,0.6003,1.00205,0.31988,0.00117,0.0004357,0.0004357,0.0004357
59,3531.72,1.05486,0.71157,0.00477,0.95185,0.8241,0.8594,0.60501,0.93719,0.31096,0.00114,0.0004258,0.0004258,0.0004258
60,3590.47,1.0636,0.69479,0.00474,0.92974,0.85467,0.8624,0.57112,1.1289,0.35202,0.00136,0.0004159,0.0004159,0.0004159
61,3651.05,1.05647,0.67144,0.00454,0.92101,0.84178,0.86155,0.60612,0.948,0.30929,0.00114,0.000406,0.000406,0.000406
62,3718.63,1.0471,0.71479,0.00468,0.96493,0.82115,0.86476,0.59525,1.04625,0.33508,0.00121,0.0003961,0.0003961,0.0003961
63,3777.6,1.03543,0.72902,0.0049,0.96168,0.84002,0.86182,0.60733,0.97226,0.31993,0.00115,0.0003862,0.0003862,0.0003862
64,3837.73,1.05739,0.70436,0.00459,0.96384,0.81164,0.85445,0.59715,0.93313,0.30923,0.00113,0.0003763,0.0003763,0.0003763
65,3898.82,1.05582,0.72356,0.00469,0.93464,0.84023,0.85854,0.5988,0.98358,0.32467,0.0012,0.0003664,0.0003664,0.0003664
66,3955.93,1.03116,0.69776,0.00449,0.92403,0.8429,0.86221,0.60727,0.94106,0.32139,0.00111,0.0003565,0.0003565,0.0003565
67,4013.77,1.06065,0.69952,0.00462,0.96143,0.81927,0.85825,0.61151,0.90717,0.30782,0.00108,0.0003466,0.0003466,0.0003466
68,4075.9,1.04518,0.65236,0.00417,0.95929,0.8094,0.85583,0.61688,0.89146,0.30746,0.00107,0.0003367,0.0003367,0.0003367
69,4141.68,1.03614,0.66872,0.00424,0.94841,0.81231,0.85712,0.61032,0.93511,0.31616,0.00111,0.0003268,0.0003268,0.0003268
70,4199.05,1.02036,0.6715,0.00442,0.96717,0.84235,0.8711,0.60182,1.02258,0.33277,0.00118,0.0003169,0.0003169,0.0003169
71,4258.83,1.01863,0.68075,0.00444,0.939,0.84037,0.86072,0.59873,0.98104,0.31873,0.00115,0.000307,0.000307,0.000307
72,4320.76,1.01245,0.68294,0.00464,0.96934,0.82357,0.85883,0.6043,0.96148,0.31414,0.00113,0.0002971,0.0002971,0.0002971
73,4383.38,1.01732,0.67248,0.00434,0.97271,0.82886,0.87101,0.60777,0.94642,0.31236,0.00115,0.0002872,0.0002872,0.0002872
74,4441.88,1.00513,0.67417,0.00439,0.96938,0.82894,0.86613,0.6019,0.97116,0.32313,0.00113,0.0002773,0.0002773,0.0002773
75,4500.86,1.00957,0.65673,0.00421,0.94689,0.82929,0.85894,0.60362,0.96548,0.31361,0.00115,0.0002674,0.0002674,0.0002674
76,4562.75,1.0124,0.65818,0.00442,0.97582,0.8092,0.86091,0.59131,0.98519,0.32302,0.00116,0.0002575,0.0002575,0.0002575
77,4620.2,0.99836,0.67871,0.00466,0.96202,0.81576,0.85727,0.58973,0.96108,0.32932,0.00113,0.0002476,0.0002476,0.0002476
78,4688.15,1.00245,0.64428,0.00406,0.98122,0.81426,0.85958,0.60862,0.88631,0.31139,0.00106,0.0002377,0.0002377,0.0002377
79,4745.72,0.98976,0.66754,0.00436,0.95869,0.82767,0.86873,0.59557,0.97277,0.31835,0.00113,0.0002278,0.0002278,0.0002278
80,4811.21,1.0048,0.6648,0.00445,0.97079,0.82255,0.86106,0.59665,0.93658,0.31643,0.00112,0.0002179,0.0002179,0.0002179
81,4882.93,0.99162,0.65034,0.00417,0.9704,0.82723,0.86411,0.59986,0.9162,0.30385,0.0011,0.000208,0.000208,0.000208
82,4949.3,0.97485,0.64197,0.00421,0.97701,0.81781,0.85664,0.60378,0.91375,0.31286,0.00109,0.0001981,0.0001981,0.0001981
83,5023.73,0.98665,0.63881,0.00409,0.96754,0.81524,0.85879,0.60552,0.90855,0.30608,0.00108,0.0001882,0.0001882,0.0001882
84,5104.74,0.97635,0.6476,0.00425,0.9687,0.83016,0.86421,0.60234,0.92407,0.30657,0.00109,0.0001783,0.0001783,0.0001783
85,5178.06,0.99936,0.64756,0.00417,0.9631,0.81874,0.85436,0.60562,0.91231,0.3104,0.00109,0.0001684,0.0001684,0.0001684
86,5255.01,0.99256,0.65482,0.00428,0.97402,0.82513,0.85716,0.61483,0.8937,0.30273,0.00107,0.0001585,0.0001585,0.0001585
87,5319.19,0.98158,0.66382,0.00433,0.93671,0.83473,0.85794,0.60743,0.91203,0.31823,0.00109,0.0001486,0.0001486,0.0001486
88,5378.14,0.98347,0.63273,0.00406,0.96779,0.81332,0.85576,0.59288,0.93591,0.31736,0.00111,0.0001387,0.0001387,0.0001387
89,5437.75,0.96694,0.63865,0.00418,0.96844,0.83096,0.86421,0.60353,0.9261,0.31907,0.00109,0.0001288,0.0001288,0.0001288
90,5505.14,0.95925,0.6556,0.00418,0.97019,0.83035,0.86208,0.60868,0.88665,0.31023,0.00106,0.0001189,0.0001189,0.0001189
91,5566.55,0.85018,0.51124,0.00438,0.96589,0.83167,0.85869,0.59514,0.93644,0.32753,0.00111,0.000109,0.000109,0.000109
92,5629.05,0.83384,0.51218,0.00425,0.95307,0.82871,0.85035,0.59629,0.92616,0.32072,0.0011,9.91e-05,9.91e-05,9.91e-05
93,5689.1,0.83095,0.50512,0.00428,0.9727,0.82031,0.86327,0.60368,0.91714,0.31849,0.00108,8.92e-05,8.92e-05,8.92e-05
94,5744.11,0.83317,0.50072,0.00438,0.96238,0.82557,0.86171,0.6106,0.92781,0.31664,0.00109,7.93e-05,7.93e-05,7.93e-05
95,5799.56,0.83195,0.49748,0.00421,0.95496,0.82186,0.85572,0.60163,0.93177,0.31601,0.0011,6.94e-05,6.94e-05,6.94e-05
96,5855.26,0.81319,0.48934,0.00405,0.96172,0.83138,0.85534,0.59966,0.94417,0.31974,0.00111,5.95e-05,5.95e-05,5.95e-05
97,5921.47,0.81336,0.48565,0.00411,0.95665,0.8234,0.85388,0.60346,0.9317,0.32068,0.0011,4.96e-05,4.96e-05,4.96e-05
98,5976.62,0.82085,0.49134,0.00402,0.95332,0.83017,0.8533,0.60253,0.92322,0.32186,0.00109,3.97e-05,3.97e-05,3.97e-05
99,6032.71,0.81246,0.48568,0.00406,0.96372,0.83119,0.85401,0.60121,0.92837,0.31938,0.00109,2.98e-05,2.98e-05,2.98e-05
100,6091.1,0.80998,0.47982,0.00406,0.95354,0.83173,0.85359,0.60496,0.91573,0.31773,0.00108,1.99e-05,1.99e-05,1.99e-05
